Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains
mindhacks.com,https://mindhacks.com/feed/atom/,Mind Hacks,Science,Disabled,-0.059999999999999998,,article,,mindhacks.com
fivethirtyeight.com,https://fivethirtyeight.com/science/feed/,FiveThirtyEight - Science,Science,Disabled,-0.16,,article,,fivethirtyeight.com
spectrum.ieee.org,https://feeds2.feedburner.com/IeeeSpectrum,IEEE Spectrum,Science,Disabled,-0.17999999999999999,,article,,spectrum.ieee.org
espn.com,https://www.espn.com/espn/rss/news,ESPN,Sports,Enabled,17.32,,article,,www.espn.com
bleacherreport.com,https://bleacherreport.com/articles/feed,Bleacher Report,Sports,Enabled,3.5099999999999998,,article,,bleacherreport.com
sports.yahoo.com,https://news.yahoo.com/rss/sports,Yahoo! Sports,Sports,Enabled,2.1499999999999999,,article,,news.yahoo.com
cbssports.com,https://www.cbssports.com/rss/headlines/,CBSSports,Sports,Enabled,2.0299999999999998,,article,,www.cbssports.com
deadspin.com,https://feeds.feedburner.com/deadspin/,Deadspin,Sports,Disabled,1.49,,article,,deadspin.com
skysports.com,https://www.skysports.com/rss/11095,SkySports,Sports,Disabled,0.96999999999999997,,article,,www.skysports.com
espncricinfo.com,https://www.espncricinfo.com/rss/content/story/feeds/0.xml,ESPN - Cricket,Sports,Disabled,0.93000000000000005,,article,,www.espncricinfo.com
sbnation.com,https://feeds.sbnation.com/rss/current,SBNation.com,Sports,Disabled,0.10000000000000001,,article,,www.sbnation.com
telegraph.co.uk/sport/,https://www.telegraph.co.uk/sport/rss.xml,The Telegraph - Sports,Sports,Disabled,0.050000000000000003,,article,,www.telegraph.co.uk
fivethirtyeight.com,https://fivethirtyeight.com/sports/feed/,FiveThirtyEight - Sports,Sports,Disabled,-0.23999999999999999,,article,,projects.fivethirtyeight.com;fivethirtyeight.com
espnfc.com,https://www.espn.com/espn/rss/soccer/news,ESPN - Football,Sports,Disabled,-0.41999999999999998,,article,,www.espn.com
foxsports.com,https://api.foxsports.com/v1/rss,FOX Sports,Sports,Disabled,-0.68999999999999995,,article,,www.foxsports.com
mlbtraderumors.com,https://www.mlbtraderumors.com/feed/atom,MLB Trade Rumors,Sports,Disabled,-0.84999999999999998,,article,,www.mlbtraderumors.com
blogs.fangraphs.com,https://blogs.fangraphs.com/feed/,FanGraphs Baseball,Sports,Disabled,-0.89000000000000001,,article,,blogs.fangraphs.com
uproxx.com,https://feeds.feedburner.com/uproxx/withleather,Uproxx - Sports,Sports,Disabled,-1.05,,article,,uproxx.com
theringer.com,https://www.theringer.com/rss/index.xml,The Ringer,Sports,Disabled,-1.0700000000000001,,article,,www.theringer.com
feeds.feedburner.com/arseblog.com,https://feeds.feedburner.com/arseblog,Arseblog,Sports,Disabled,-1.1299999999999999,,article,,shows.acast.com
theathletic.com,https://theathletic.com/rss-feed/,The Athletic,Sports,Disabled,-1.22,,article,,theathletic.com
basketball.realgm.com/news,https://basketball.realgm.com/rss/realgm_nba_wiretap.xml,RealGM Basketball Wiretap,Sports,Disabled,-1.27,,article,,basketball.realgm.com
theathletic.com/nba,https://theathletic.com/nba/?rss=1,The Athletic - NBA,Sports,Disabled,-1.27,,article,,theathletic.com
cnet.com,https://www.cnet.com/rss/news/,CNET News,Technology,Enabled,10.1,On,article,,www.cnet.com
theverge.com,https://www.theverge.com/rss/full.xml,The Verge,Technology,Enabled,5.96,,article,,www.theverge.com
engadget.com,https://www.engadget.com/rss-full.xml,Engadget,Technology,Enabled,5.3399999999999999,,article,,www.engadget.com
wired.com,https://www.wired.com/feed,Wired,Technology,Enabled,3.5499999999999998,,article,,www.wired.com
lifehacker.com,https://lifehacker.com/rss,Lifehacker,Technology,Enabled,3.1899999999999999,,article,,lifehacker.com
techcrunch.com,https://techcrunch.com/feed/,TechCrunch,Technology,Enabled,3.1499999999999999,,article,,techcrunch.com
gizmodo.com,https://gizmodo.com/rss,Gizmodo,Technology,Enabled,2.6499999999999999,,article,,gizmodo.com
zdnet.com,https://www.zdnet.com/news/rss.xml,ZDNet,Technology,Disabled,2.2999999999999998,,article,,www.zdnet.com
mashable.com,https://feeds.mashable.com/Mashable,Mashable,Technology,Disabled,1.8300000000000001,On,article,,mashable.com
techradar.com,https://www.techradar.com/rss,TechRadar,Technology,Disabled,1.7,,article,,www.techradar.com
digitaltrends.com,https://www.digitaltrends.com/feed/,Digital Trends,Technology,Disabled,1.3100000000000001,,article,,www.digitaltrends.com
howtogeek.com,https://feeds.howtogeek.com/HowToGeek,How-To Geek,Technology,Disabled,0.92000000000000004,,article,,www.cloudsavvyit.com;www.howtogeek.com;www.reviewgeek.com
gsmarena.com,https://www.gsmarena.com/rss-news-reviews.php3,GSMArena,Technology,Disabled,0.77000000000000002,,article,,www.gsmarena.com
androidcentral.com,https://www.androidcentral.com/feed,Android Central,Technology,Disabled,0.47999999999999998,,article,,www.androidcentral.com
macrumors.com,https://feeds.macrumors.com/MacRumors-Front,MacRumors,Technology,Disabled,-0.070000000000000007,,article,,www.macrumors.com
venturebeat.com,https://venturebeat.com/feed/,VentureBeat,Technology,Disabled,-0.48999999999999999,,article,,venturebeat.com
thenextweb.com,https://feeds2.feedburner.com/thenextweb,The Next Web,Technology,Disabled,-0.54000000000000004,,article,,thenextweb.com
windowscentral.com,https://feeds.feedburner.com/wmexperts,Windows Central,Technology,Disabled,-0.58999999999999997,,article,,www.windowscentral.com
makeuseof.com,https://feeds.feedburner.com/Makeuseof,MakeUseOf,Technology,Disabled,-0.76000000000000001,,article,,www.makeuseof.com
hackaday.com,https://hackaday.com/blog/feed/,Hackaday,Technology,Disabled,-0.81000000000000005,,article,,hackaday.com
9to5mac.com,https://9to5mac.com/feed/,9to5Mac,Technology,Disabled,-0.82999999999999996,,article,,9to5mac.com
spectrum.ieee.org,https://feeds2.feedburner.com/IeeeSpectrum,IEEE Spectrum,Technology,Disabled,-0.87,,article,,spectrum.ieee.org
thepointsguy.com,https://feeds.feedburner.com/thepointsguy,The Points Guy,Travel,Enabled,9.9399999999999995,,article,,thepointsguy.com
lonelyplanet.com,https://www.lonelyplanet.com/articles/news/feed/atom,Lonely Planet,Travel,Enabled,8.9100000000000001,,article,,www.lonelyplanet.com
atlasobscura.com,https://www.atlasobscura.com/feeds/latest,Atlas Obscura,Travel,Enabled,6.6399999999999997,,article,,www.atlasobscura.com
stuckincustoms.com,https://feeds.feedburner.com/stuckincustoms/EmRA,Stuck in Customs,Travel,Disabled,2.7000000000000002,,article,,stuckincustoms.com
onemileatatime.com,https://onemileatatime.com/feed/,One Mile at a Time,Travel,Disabled,2.5099999999999998,,article,,onemileatatime.com
skift.com,https://skift.com/feed/,Skift,Travel,Disabled,2.5,On,article,,skift.com
matadornetwork.com,https://matadornetwork.com/feed/,Matador Network,Travel,Disabled,2.0699999999999998,,article,,matadornetwork.com
adventure.com,https://adventure.com/feed/,Adventure,Travel,Disabled,0.63,,article,,adventure.com
millionmilesecrets.com,https://feeds.feedburner.com/MillionMileSecrets,Million Mile Secrets,Travel,Disabled,0.31,,article,,millionmilesecrets.com
flyertalk.com,https://www.flyertalk.com/feed,FlyerTalk,Travel,Disabled,0.25,,article,,www.flyertalk.com
boardingarea.com,https://boardingarea.com/feed/atom/,BoardingArea,Travel,Disabled,0.17000000000000001,,article,,www.paddleyourownkanoo.com;milesforfamily.com;liveandletsfly.com;travelupdate.com;yourmileagemayvary.net;viewfromthewing.com;youhavebeenupgraded.boardingarea.com;onemileatatime.com;milestomemories.com
frommers.com,https://www.frommers.com/feed,Frommer's,Travel,Disabled,-1.3100000000000001,,article,,www.frommers.com
theguardian.com/us/travel,https://www.theguardian.com/us/travel/rss,The Guardian - Travel,Travel,Disabled,-1.3899999999999999,On,article,,www.theguardian.com
secretflying.com,https://www.secretflying.com/feed/,Secret Flying,Travel,Disabled,-1.3999999999999999,,article,,www.secretflying.com
travelweekly.com,https://feeds.feedburner.com/TravelWeeklysTopStories,Travel Weekly,Travel,Disabled,-1.4199999999999999,,article,,www.travelweekly.com
afar.com,https://feeds.feedburner.com/AfarMagazine,AFAR Magazine,Travel,Disabled,-1.45,,article,,www.afar.com
blog.ricksteves.com,https://blog.ricksteves.com/feed/,Rick Steves' Travel Blog,Travel,Disabled,-1.52,,article,,blog.ricksteves.com
theflightdeal.com,https://feeds.feedburner.com/TheFlightDeal,The Flight Deal,Travel,Disabled,-1.54,,article,,www.theflightdeal.com
